"invoice_id","branch","city","customer_type","gender","product_line","unit_price","quantity","tax5","total","date","time","payment","cogs","gross_margin_percentage","gross_income","rating","time_of_day","day_of_week","month_name"
"135-13-8269","B","Mandalay","Member","Female","Food and beverages","78.88",2,"7.89","165.65","2019-01-26","16:04:00","Cash","157.76","4.76","7.89","9.1","Evening","Saturday ","January  "
"135-84-8019","A","Yangon","Normal","Female","Fashion accessories","77.93",9,"35.07","736.44","2019-02-27","16:10:00","Ewallet","701.37","4.76","35.07","7.6","Evening","Wednesday","February "
"136-08-6195","A","Yangon","Normal","Female","Home and lifestyle","69.96",8,"27.98","587.66","2019-02-15","17:01:00","Credit card","559.68","4.76","27.98","6.4","Evening","Friday   ","February "
"137-63-5492","C","Naypyitaw","Normal","Male","Electronic accessories","58.76",10,"29.38","616.98","2019-01-29","14:26:00","Ewallet","587.60","4.76","29.38","9.0","Afternoon","Tuesday  ","January  "
"137-74-8729","C","Naypyitaw","Normal","Female","Fashion accessories","12.19",8,"4.88","102.40","2019-03-13","12:47:00","Ewallet","97.52","4.76","4.88","6.8","Afternoon","Wednesday","March    "
"138-17-5109","A","Yangon","Member","Female","Home and lifestyle","89.21",9,"40.14","843.03","2019-01-15","15:42:00","Credit card","802.89","4.76","40.14","6.5","Afternoon","Tuesday  ","January  "
"139-20-0155","B","Mandalay","Member","Male","Electronic accessories","40.30",10,"20.15","423.15","2019-01-24","17:37:00","Credit card","403.00","4.76","20.15","7.0","Evening","Thursday ","January  "
"139-32-4183","A","Yangon","Member","Female","Sports and travel","97.48",9,"43.87","921.19","2019-03-14","14:19:00","Ewallet","877.32","4.76","43.87","7.4","Afternoon","Thursday ","March    "
"139-52-2867","C","Naypyitaw","Normal","Female","Fashion accessories","22.51",7,"7.88","165.45","2019-02-13","10:50:00","Credit card","157.57","4.76","7.88","4.8","Morning","Wednesday","February "
"142-63-6033","B","Mandalay","Normal","Male","Home and lifestyle","92.36",5,"23.09","484.89","2019-03-20","19:17:00","Ewallet","461.80","4.76","23.09","4.9","Evening","Wednesday","March    "
"142-72-4741","C","Naypyitaw","Member","Male","Fashion accessories","93.20",2,"9.32","195.72","2019-02-28","18:37:00","Credit card","186.40","4.76","9.32","6.0","Evening","Thursday ","February "
"144-51-6085","A","Yangon","Member","Male","Home and lifestyle","70.74",4,"14.15","297.11","2019-01-05","16:05:00","Credit card","282.96","4.76","14.15","4.4","Evening","Saturday ","January  "
"145-94-9061","B","Mandalay","Normal","Female","Food and beverages","88.36",5,"22.09","463.89","2019-01-25","19:48:00","Cash","441.80","4.76","22.09","9.6","Evening","Friday   ","January  "
"146-09-5432","A","Yangon","Member","Male","Food and beverages","35.04",9,"15.77","331.13","2019-02-09","19:17:00","Ewallet","315.36","4.76","15.77","4.6","Evening","Saturday ","February "
"148-41-7930","C","Naypyitaw","Normal","Male","Health and beauty","99.96",7,"34.99","734.71","2019-01-23","10:33:00","Cash","699.72","4.76","34.99","6.1","Morning","Wednesday","January  "
"148-82-2527","C","Naypyitaw","Member","Female","Home and lifestyle","12.12",10,"6.06","127.26","2019-03-05","13:44:00","Credit card","121.20","4.76","6.06","8.4","Afternoon","Tuesday  ","March    "
"149-14-0304","C","Naypyitaw","Member","Female","Health and beauty","28.50",8,"11.40","239.40","2019-02-06","14:24:00","Cash","228.00","4.76","11.40","6.6","Afternoon","Wednesday","February "
"149-15-7606","B","Mandalay","Member","Male","Sports and travel","37.32",9,"16.79","352.67","2019-03-06","15:31:00","Ewallet","335.88","4.76","16.79","5.1","Afternoon","Wednesday","March    "
"149-61-1929","A","Yangon","Normal","Male","Sports and travel","64.19",10,"32.10","674.00","2019-01-19","14:08:00","Credit card","641.90","4.76","32.10","6.7","Afternoon","Saturday ","January  "
"149-71-6266","B","Mandalay","Member","Male","Sports and travel","78.07",9,"35.13","737.76","2019-01-28","12:43:00","Cash","702.63","4.76","35.13","4.5","Afternoon","Monday   ","January  "
"150-89-8043","A","Yangon","Normal","Male","Sports and travel","44.65",3,"6.70","140.65","2019-02-14","15:04:00","Cash","133.95","4.76","6.70","6.2","Afternoon","Thursday ","February "
"151-16-1484","A","Yangon","Member","Male","Electronic accessories","32.25",4,"6.45","135.45","2019-02-13","12:38:00","Ewallet","129.00","4.76","6.45","6.5","Afternoon","Wednesday","February "
"151-27-8496","C","Naypyitaw","Normal","Female","Electronic accessories","56.13",4,"11.23","235.75","2019-01-19","11:43:00","Ewallet","224.52","4.76","11.23","8.6","Morning","Saturday ","January  "
"151-33-7434","B","Mandalay","Normal","Female","Food and beverages","67.77",1,"3.39","71.16","2019-02-04","20:43:00","Credit card","67.77","4.76","3.39","6.5","Evening","Monday   ","February "
"152-03-4217","B","Mandalay","Normal","Female","Home and lifestyle","11.28",9,"5.08","106.60","2019-03-17","11:55:00","Credit card","101.52","4.76","5.08","4.3","Morning","Sunday   ","March    "
"152-08-9985","B","Mandalay","Member","Male","Health and beauty","64.36",9,"28.96","608.20","2019-03-12","12:09:00","Credit card","579.24","4.76","28.96","8.6","Afternoon","Tuesday  ","March    "
"152-68-2907","A","Yangon","Normal","Male","Food and beverages","52.20",3,"7.83","164.43","2019-02-15","13:30:00","Credit card","156.60","4.76","7.83","9.5","Afternoon","Friday   ","February "
"153-58-4872","C","Naypyitaw","Member","Female","Food and beverages","74.89",4,"14.98","314.54","2019-03-01","15:32:00","Ewallet","299.56","4.76","14.98","4.2","Afternoon","Friday   ","March    "
"154-74-7179","B","Mandalay","Normal","Male","Sports and travel","54.45",1,"2.72","57.17","2019-02-26","19:24:00","Ewallet","54.45","4.76","2.72","7.9","Evening","Tuesday  ","February "
"154-87-7367","C","Naypyitaw","Normal","Male","Home and lifestyle","65.26",8,"26.10","548.18","2019-03-15","14:04:00","Ewallet","522.08","4.76","26.10","6.3","Afternoon","Friday   ","March    "
"155-45-3814","C","Naypyitaw","Member","Female","Electronic accessories","88.55",8,"35.42","743.82","2019-03-19","15:29:00","Ewallet","708.40","4.76","35.42","4.7","Afternoon","Tuesday  ","March    "
"156-20-0370","B","Mandalay","Normal","Female","Electronic accessories","25.45",1,"1.27","26.72","2019-03-10","18:10:00","Credit card","25.45","4.76","1.27","5.1","Evening","Sunday   ","March    "
"156-95-3964","A","Yangon","Normal","Female","Food and beverages","55.39",4,"11.08","232.64","2019-03-25","15:19:00","Ewallet","221.56","4.76","11.08","8.0","Afternoon","Monday   ","March    "
"157-13-5295","A","Yangon","Member","Male","Health and beauty","51.94",10,"25.97","545.37","2019-03-09","18:24:00","Ewallet","519.40","4.76","25.97","6.5","Evening","Saturday ","March    "
"160-22-2687","A","Yangon","Member","Female","Health and beauty","95.95",5,"23.99","503.74","2019-01-23","14:21:00","Ewallet","479.75","4.76","23.99","8.8","Afternoon","Wednesday","January  "
"162-48-8011","A","Yangon","Member","Female","Food and beverages","44.59",5,"11.15","234.10","2019-02-10","15:10:00","Cash","222.95","4.76","11.15","8.5","Afternoon","Sunday   ","February "
"162-65-8559","C","Naypyitaw","Member","Male","Food and beverages","68.98",1,"3.45","72.43","2019-01-21","20:13:00","Cash","68.98","4.76","3.45","4.8","Evening","Monday   ","January  "
"163-56-7055","C","Naypyitaw","Member","Male","Fashion accessories","48.71",1,"2.44","51.15","2019-03-26","19:20:00","Cash","48.71","4.76","2.44","4.1","Evening","Tuesday  ","March    "
"166-19-2553","A","Yangon","Member","Male","Sports and travel","89.06",6,"26.72","561.08","2019-01-18","17:26:00","Cash","534.36","4.76","26.72","9.9","Evening","Friday   ","January  "
"169-52-4504","A","Yangon","Normal","Female","Electronic accessories","15.69",3,"2.35","49.42","2019-03-14","14:13:00","Credit card","47.07","4.76","2.35","5.8","Afternoon","Thursday ","March    "
"172-42-8274","B","Mandalay","Normal","Female","Electronic accessories","38.27",2,"3.83","80.37","2019-03-02","18:18:00","Credit card","76.54","4.76","3.83","5.8","Evening","Saturday ","March    "
"173-50-1108","B","Mandalay","Member","Female","Sports and travel","20.18",4,"4.04","84.76","2019-02-13","12:14:00","Credit card","80.72","4.76","4.04","5.0","Afternoon","Wednesday","February "
"173-57-2300","C","Naypyitaw","Member","Male","Sports and travel","72.88",2,"7.29","153.05","2019-03-13","12:51:00","Cash","145.76","4.76","7.29","6.1","Afternoon","Wednesday","March    "
"173-82-9529","B","Mandalay","Normal","Female","Fashion accessories","37.95",10,"18.98","398.48","2019-01-26","14:51:00","Cash","379.50","4.76","18.98","9.7","Afternoon","Saturday ","January  "
"174-36-3675","C","Naypyitaw","Member","Male","Food and beverages","99.37",2,"9.94","208.68","2019-02-14","17:29:00","Cash","198.74","4.76","9.94","5.2","Evening","Thursday ","February "
"174-64-0215","B","Mandalay","Normal","Male","Sports and travel","69.74",10,"34.87","732.27","2019-03-05","17:49:00","Credit card","697.40","4.76","34.87","8.9","Evening","Tuesday  ","March    "
"174-75-0888","B","Mandalay","Normal","Male","Electronic accessories","21.58",9,"9.71","203.93","2019-03-14","12:32:00","Cash","194.22","4.76","9.71","7.3","Afternoon","Thursday ","March    "
"175-54-2529","A","Yangon","Member","Male","Food and beverages","22.17",8,"8.87","186.23","2019-03-03","17:01:00","Credit card","177.36","4.76","8.87","9.6","Evening","Sunday   ","March    "
"176-64-7711","B","Mandalay","Normal","Male","Food and beverages","32.32",3,"4.85","101.81","2019-03-27","19:11:00","Credit card","96.96","4.76","4.85","4.3","Evening","Wednesday","March    "
"176-78-1170","C","Naypyitaw","Member","Male","Health and beauty","33.81",3,"5.07","106.50","2019-01-26","15:11:00","Ewallet","101.43","4.76","5.07","7.3","Afternoon","Saturday ","January  "
"181-82-6255","B","Mandalay","Normal","Female","Home and lifestyle","16.37",6,"4.91","103.13","2019-02-08","10:58:00","Cash","98.22","4.76","4.91","7.0","Morning","Friday   ","February "
"181-94-6432","C","Naypyitaw","Member","Male","Fashion accessories","69.33",2,"6.93","145.59","2019-02-05","19:05:00","Ewallet","138.66","4.76","6.93","9.7","Evening","Tuesday  ","February "
"182-52-7000","A","Yangon","Member","Female","Sports and travel","27.04",4,"5.41","113.57","2019-01-01","20:26:00","Ewallet","108.16","4.76","5.41","6.9","Evening","Tuesday  ","January  "
"182-69-8360","B","Mandalay","Normal","Female","Electronic accessories","23.65",4,"4.73","99.33","2019-01-30","13:32:00","Credit card","94.60","4.76","4.73","4.0","Afternoon","Wednesday","January  "
"182-88-2763","B","Mandalay","Member","Male","Food and beverages","79.91",3,"11.99","251.72","2019-03-20","19:28:00","Credit card","239.73","4.76","11.99","5.0","Evening","Wednesday","March    "
"183-21-3799","C","Naypyitaw","Normal","Female","Electronic accessories","77.63",9,"34.93","733.60","2019-02-19","15:14:00","Ewallet","698.67","4.76","34.93","7.2","Afternoon","Tuesday  ","February "
"183-56-6882","C","Naypyitaw","Member","Female","Food and beverages","99.42",4,"19.88","417.56","2019-02-06","10:42:00","Ewallet","397.68","4.76","19.88","7.5","Morning","Wednesday","February "
"186-09-3669","C","Naypyitaw","Member","Female","Health and beauty","81.51",1,"4.08","85.59","2019-01-22","10:57:00","Ewallet","81.51","4.76","4.08","9.2","Morning","Tuesday  ","January  "
"186-43-8965","A","Yangon","Member","Female","Home and lifestyle","47.68",2,"4.77","100.13","2019-02-24","10:10:00","Credit card","95.36","4.76","4.77","4.1","Morning","Sunday   ","February "
"186-71-5196","A","Yangon","Member","Female","Food and beverages","79.54",2,"7.95","167.03","2019-03-27","16:30:00","Ewallet","159.08","4.76","7.95","6.2","Evening","Wednesday","March    "
"186-79-9562","B","Mandalay","Normal","Male","Health and beauty","71.77",7,"25.12","527.51","2019-03-29","14:06:00","Cash","502.39","4.76","25.12","8.9","Afternoon","Friday   ","March    "
"187-83-5490","A","Yangon","Member","Male","Electronic accessories","20.77",4,"4.15","87.23","2019-01-31","13:47:00","Cash","83.08","4.76","4.15","4.7","Afternoon","Thursday ","January  "
"188-55-0967","B","Mandalay","Member","Male","Health and beauty","66.47",10,"33.24","697.94","2019-01-15","15:01:00","Credit card","664.70","4.76","33.24","5.0","Afternoon","Tuesday  ","January  "
"189-08-9157","C","Naypyitaw","Normal","Female","Fashion accessories","31.73",9,"14.28","299.85","2019-01-08","16:17:00","Credit card","285.57","4.76","14.28","5.9","Evening","Tuesday  ","January  "
"189-17-4241","A","Yangon","Normal","Female","Fashion accessories","87.67",2,"8.77","184.11","2019-03-10","12:17:00","Credit card","175.34","4.76","8.77","7.7","Afternoon","Sunday   ","March    "
